"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","symbol"
57.6125692869727,-2.83931629590834,0.281117284180002,-8.24693018826487,1.62515293641787e-16,2.60352625708251e-14,"548596","CKMT1A"
404.476199422189,-1.65353881151971,0.201727020103532,-8.18109968018968,2.81265110124654e-16,4.46300761884463e-14,"147657","ZNF480"
46.5043591684792,2.52762926640928,0.27847473219682,8.16613158983642,3.18435915024261e-16,5.00515167945209e-14,"55530","SVOP"
76.1021819450403,-2.33705174371038,0.281645801857631,-8.11618481288168,4.8106790640232e-16,7.49072185847575e-14,"219902","TLCD5"
4046.07783716804,0.802359200447542,0.0991109921330119,8.09527148878216,5.71367765835531e-16,8.81440587646832e-14,"81603","TRIM8"
872.671007154304,1.25091880452348,0.155124725256426,8.06038646018265,7.60536235821646e-16,1.16250405734169e-13,"27128","CYTH4"
54.7854357835278,2.43213268490707,0.282850164109159,8.05289791411428,8.08563428494578e-16,1.22467957110438e-13,"101928055","101928055"
81.020380414243,-3.8756415185281,0.271308173123146,-8.05168732181509,8.16603118140459e-16,1.22571392354398e-13,"7728","ZNF175"
124.730205509047,-2.01068154635983,0.247767164493558,-8.02704716856338,9.98467033638942e-16,1.48530886138022e-13,"57540","DISP3"
276.975676167967,-1.5749990113566,0.196166935030095,-8.00636401358163,1.18149662156642e-15,1.73477937771204e-13,"84059","ADGRV1"
2259.80653198514,0.975463019476969,0.12183223475284,8.00579298141612,1.18699267186347e-15,1.73477937771204e-13,"8795","TNFRSF10B"
1032.23610648795,1.08966419734666,0.136126978844807,8.00247521619876,1.21942721692535e-15,1.76668494445158e-13,"654816","NCF1B"
643.118644688958,-1.0815542543885,0.135137171560288,-7.99886922187686,1.25566994488402e-15,1.80351008204419e-13,"55633","TBC1D22B"
64.7518677746295,3.38296286592027,0.275534470234896,7.90293025584713,2.72422032270227e-15,3.87933630739679e-13,"4109","MAGEA10"
1686.18603666544,-0.980910519587002,0.124570040667535,-7.8730760044179,3.46026291897457e-15,4.88571529601993e-13,"10653","SPINT2"
840.75658239748,1.45668630337041,0.185153995474397,7.86345675237181,3.73675397496147e-15,5.23176957788513e-13,"54541","DDIT4"
902.677876899107,-1.42184553067073,0.180830775584582,-7.85861597561683,3.88401007348331e-15,5.39262431952545e-13,"8745","ADAM23"
58.7405065371245,2.22363104865188,0.273991142457267,7.84033634462335,4.49341209614153e-15,6.18716850692678e-13,"353135","LCE1E"
144.411648848754,-1.54396887886737,0.19579369210319,-7.83810077508166,4.57411865451919e-15,6.24667138548723e-13,"79961","DENND2D"
7561.95320680636,-1.00013411274353,0.128218279351189,-7.7999880108975,6.19130572208768e-15,8.38645078339047e-13,"3676","ITGA4"
190.223641262136,1.4372327791948,0.183843671605515,7.7915860705529,6.61732122332746e-15,8.89122491144023e-13,"11156","PTP4A3"
2635.65412674923,0.902042794055357,0.116357176386834,7.75182003634325,9.05847093648326e-15,1.20738547418198e-12,"55344","PLCXD1"
900.587285256028,0.990555164424045,0.127995144627747,7.73688697233513,1.01880554519895e-14,1.34716818956823e-12,"101927297","LOC101927297"
1410.32714940911,0.931776719600366,0.120824868874224,7.71066603315319,1.25162802042693e-14,1.64199798805773e-12,"79228","THOC6"
723.428615385909,1.66762597259521,0.216322820327701,7.70650286432163,1.29312337821426e-14,1.68318192222092e-12,"4772","NFATC1"
2971.87204184255,-0.828249025009191,0.107700577555883,-7.6897595266496,1.47411827963184e-14,1.90389803542217e-12,"9414","TJP2"
89.3044678842023,-2.01644987654474,0.259098399552353,-7.6648242625039,1.79076228711124e-14,2.2950684973508e-12,"6769","STAC"
309.725401264286,-1.29799408579306,0.169381461099434,-7.64955011112589,2.01683671128558e-14,2.56507759135336e-12,"2737","GLI3"
2670.4627465899,-0.97358552661097,0.127748967531395,-7.62036466111538,2.52960064743793e-14,3.19285427173965e-12,"3113","HLA-DPA1"
52.759498224245,-2.14067694834363,0.269821455780037,-7.61230710077826,2.69245868069066e-14,3.37286120894639e-12,"442319","ZNF727"
213.908482190442,1.84247275599442,0.242754724926596,7.56989412779903,3.73528524291696e-14,4.62471749947861e-12,"105377253","LOC105377253"
510.782647002478,1.63888802978544,0.281359041420496,7.56946419483154,3.74766735810914e-14,4.62471749947861e-12,"9429","ABCG2"
48.4444879269786,2.80201825171374,0.283204172334275,7.56851824829076,3.77505299759373e-14,4.62471749947861e-12,"642934","CERNA2"
